album_name,track_number,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode
1989,1.0,Welcome To New York,0.789,0.634,7.0,-4.762,1.0,0.0323,0.0348,1.64e-06,0.302,0.658,116.992,4.0,212600.0,False,G,major,G major
1989,2.0,Blank Space,0.76,0.703,5.0,-5.412,1.0,0.054,0.103,0.0,0.0913,0.57,95.997,4.0,231827.0,False,F,major,F major
1989,3.0,Style,0.588,0.791,7.0,-5.595,1.0,0.0402,0.00245,0.00258,0.118,0.487,94.933,4.0,231000.0,False,G,major,G major
1989,4.0,Out Of The Woods,0.553,0.841,7.0,-6.937,1.0,0.0396,0.000743,1.19e-05,0.341,0.338,92.008,4.0,235800.0,False,G,major,G major
1989,5.0,All You Had To Do Was Stay,0.605,0.725,5.0,-5.729,1.0,0.0323,0.00201,2.02e-05,0.101,0.539,96.97,4.0,193293.0,False,F,major,F major
1989,6.0,Shake It Off,0.647,0.8,7.0,-5.384,1.0,0.165,0.0647,0.0,0.334,0.942,160.078,4.0,219200.0,False,G,major,G major
1989,7.0,I Wish You Would,0.653,0.893,0.0,-5.966,1.0,0.0538,0.0158,4.95e-05,0.102,0.513,118.035,4.0,207440.0,False,C,major,C major
1989,8.0,Bad Blood,0.646,0.794,7.0,-6.104,1.0,0.19,0.0885,6.16e-06,0.201,0.287,170.216,4.0,211933.0,False,G,major,G major
1989,9.0,Wildest Dreams,0.55,0.688,8.0,-7.416,1.0,0.0897,0.0692,0.00144,0.106,0.465,139.997,4.0,220440.0,False,G#,major,G# major
1989,10.0,How You Get The Girl,0.765,0.656,5.0,-6.112,1.0,0.0504,0.00364,0.00868,0.0918,0.545,119.997,4.0,247533.0,False,F,major,F major
1989,11.0,This Love,0.481,0.435,4.0,-8.795,1.0,0.0321,0.678,0.0,0.0928,0.107,143.95,4.0,250093.0,False,E,major,E major
1989,12.0,I Know Places,0.602,0.755,0.0,-4.991,1.0,0.071,0.245,0.0,0.178,0.495,159.965,4.0,195707.0,False,C,major,C major
1989,13.0,Clean,0.815,0.377,4.0,-7.754,1.0,0.0346,0.232,0.0,0.1,0.211,103.97,4.0,271000.0,False,E,major,E major
1989,14.0,Wonderland,0.422,0.692,3.0,-5.447,1.0,0.0549,0.0493,2.57e-05,0.177,0.197,184.014,4.0,245560.0,False,D#,major,D# major
1989,15.0,You Are In Love,0.474,0.48,2.0,-8.894,1.0,0.0622,0.707,0.000108,0.0903,0.319,170.109,4.0,267107.0,False,D,major,D major
1989,16.0,New Romantics,0.633,0.889,5.0,-5.87,1.0,0.0715,0.00463,0.000458,0.0658,0.584,121.956,4.0,230467.0,False,F,major,F major
reputation,1.0,...Ready For It?,0.613,0.764,2.0,-6.509,1.0,0.136,0.0527,0.0,0.197,0.417,160.015,4.0,208187.0,False,D,major,D major
reputation,2.0,End Game,0.649,0.589,2.0,-6.237,1.0,0.0558,0.00845,0.0,0.108,0.151,159.073,4.0,244827.0,False,D,major,D major
reputation,3.0,I Did Something Bad,0.696,0.602,0.0,-6.156,0.0,0.159,0.0679,2.11e-05,0.0696,0.305,82.989,4.0,238253.0,False,C,minor,C minor
reputation,4.0,Don't Blame Me,0.615,0.534,9.0,-6.719,0.0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,4.0,236413.0,False,A,minor,A minor
reputation,5.0,Delicate,0.75,0.404,9.0,-10.178,0.0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,4.0,232253.0,False,A,minor,A minor
reputation,6.0,Look What You Made Me Do,0.766,0.709,9.0,-6.471,0.0,0.123,0.204,1.41e-05,0.126,0.506,128.07,4.0,211853.0,False,A,minor,A minor
